54 1E7B	1E7A	# Tṻ => Ṻ
54 1E7D	1E7C	# Tṽ => Ṽ
54 1E7F	1E7E	# Tṿ => Ṿ
54 1E81	1E80	# Tẁ => Ẁ
54 1E83	1E82	# Tẃ => Ẃ
54 1E85	1E84	# Tẅ => Ẅ
54 1E87	1E86	# Tẇ => Ẇ
54 1E89	1E88	# Tẉ => Ẉ
54 1E8B	1E8A	# Tẋ => Ẋ
54 1E8D	1E8C	# Tẍ => Ẍ
54 1E8F	1E8E	# Tẏ => Ẏ
54 1E91	1E90	# Tẑ => Ẑ
54 1E93	1E92	# Tẓ => Ẓ
54 1E95	1E94	# Tẕ => Ẕ
54 1EA1	1EA0	# Tạ => Ạ
54 1EA3	1EA2	# Tả => Ả
54 1EA5	1EA4	# Tấ => Ấ
54 1EA7	1EA6	# Tầ => Ầ
54 1EA9	1EA8	# Tẩ => Ẩ
54 1EAB	1EAA	# Tẫ => Ẫ
54 1EAD	1EAC	# Tậ => Ậ
54 1EAF	1EAE	# Tắ => Ắ
54 1EB1	1EB0	# Tằ => Ằ
54 1EB3	1EB2	# Tẳ => Ẳ
54 1EB5	1EB4	# Tẵ => Ẵ
54 1EB7	1EB6	# Tặ => Ặ
54 1EB9	1EB8	# Tẹ => Ẹ
54 1EBB	1EBA	# Tẻ => Ẻ
54 1EBD	1EBC	# Tẽ => Ẽ
54 1EBF	1EBE	# Tế => Ế
54 1EC1	1EC0	# Tề => Ề
54 1EC3	1EC2	# Tể => Ể
54 1EC5	1EC4	# Tễ => Ễ
54 1EC7	1EC6	# Tệ => Ệ
54 1EC9	1EC8	# Tỉ => Ỉ
54 1ECB	1ECA	# Tị => Ị
54 1ECD	1ECC	# Tọ => Ọ
54 1ECF	1ECE	# Tỏ => Ỏ
54 1ED1	1ED0	# Tố => Ố
54 1ED3	1ED2	# Tồ => Ồ
54 1ED5	1ED4	# Tổ => Ổ
54 1ED7	1ED6	# Tỗ => Ỗ
54 1ED9	1ED8	# Tộ => Ộ
54 1EDB	1EDA	# Tớ => Ớ
54 1EDD	1EDC	# Tờ => Ờ
54 1EDF	1EDE	# Tở => Ở
54 1EE1	1EE0	# Tỡ => Ỡ
54 1EE3	1EE2	# Tợ => Ợ
54 1EE5	1EE4	# Tụ => Ụ
54 1EE7	1EE6	# Tủ => Ủ
54 1EE9	1EE8	# Tứ => Ứ
54 1EEB	1EEA	# Từ => Ừ
54 1EED	1EEC	# Tử => Ử
54 1EEF	1EEE	# Tữ => Ữ
54 1EF1	1EF0	# Tự => Ự
54 1EF3	1EF2	# Tỳ => Ỳ
54 1EF5	1EF4	# Tỵ => Ỵ
54 1EF7	1EF6	# Tỷ => Ỷ
54 1EF9	1EF8	# Tỹ => Ỹ
54 1EFB	1EFA	# Tỻ => Ỻ
54 1EFD	1EFC	# Tỽ => Ỽ
54 1EFF	1EFE	# Tỿ => Ỿ
54 1F00	1F08	# Tἀ => Ἀ
54 1F01	1F09	# Tἁ => Ἁ
54 1F02	1F0A	# Tἂ => Ἂ
54 1F03	1F0B	# Tἃ => Ἃ
54 1F04	1F0C	# Tἄ => Ἄ
54 1F05	1F0D	# Tἅ => Ἅ
54 1F06	1F0E	# Tἆ => Ἆ
54 1F07	1F0F	# Tἇ => Ἇ
54 1F10	1F18	# Tἐ => Ἐ
54 1F11	1F19	# Tἑ => Ἑ
54 1F12	1F1A	# Tἒ => Ἒ
54 1F13	1F1B	# Tἓ => Ἓ
54 1F14	1F1C	# Tἔ => Ἔ
54 1F15	1F1D	# Tἕ => Ἕ
54 1F20	1F28	# Tἠ => Ἠ
54 1F21	1F29	# Tἡ => Ἡ
54 1F22	1F2A	# Tἢ => Ἢ
54 1F23	1F2B	# Tἣ => Ἣ
54 1F24	1F2C	# Tἤ => Ἤ
54 1F25	1F2D	# Tἥ => Ἥ
54 1F26	1F2E	# Tἦ => Ἦ
54 1F27	1F2F	# Tἧ => Ἧ
54 1F30	1F38	# Tἰ => Ἰ
54 1F31	1F39	# Tἱ => Ἱ
54 1F32	1F3A	# Tἲ => Ἲ
54 1F33	1F3B	# Tἳ => Ἳ
54 1F34	1F3C	# Tἴ => Ἴ
54 1F35	1F3D	# Tἵ => Ἵ
54 1F36	1F3E	# Tἶ => Ἶ
54 1F37	1F3F	# Tἷ => Ἷ
54 1F40	1F48	# Tὀ => Ὀ
54 1F41	1F49	# Tὁ => Ὁ
54 1F42	1F4A	# Tὂ => Ὂ
54 1F43	1F4B	# Tὃ => Ὃ
54 1F44	1F4C	# Tὄ => Ὄ
54 1F45	1F4D	# Tὅ => Ὅ
