551	55 581	# Ց => Uց
552	55 582	# Ւ => Uւ
553	55 583	# Փ => Uփ
554	55 584	# Ք => Uք
555	55 585	# Օ => Uօ
556	55 586	# Ֆ => Uֆ
55A	50 55A	# ՚ => P՚
55B	50 55B	# ՛ => P՛
55C	50 55C	# ՜ => P՜
55D	50 55D	# ՝ => P՝
55E	50 55E	# ՞ => P՞
55F	50 55F	# ՟ => P՟
589	50 589	# ։ => P։
58A	50 58A	# ֊ => P֊
5BE	50 5BE	# ־ => P־
5C0	50 5C0	# ׀ => P׀
5C3	50 5C3	# ׃ => P׃
5C6	50 5C6	# ׆ => P׆
5F3	50 5F3	# ׳ => P׳
5F4	50 5F4	# ״ => P״
609	50 609	# ؉ => P؉
60A	50 60A	# ؊ => P؊
60C	50 60C	# ، => P،
60D	50 60D	# ؍ => P؍
61B	50 61B	# ؛ => P؛
61D	50 61D	# ؝ => P؝
61E	50 61E	# ؞ => P؞
61F	50 61F	# ؟ => P؟
66A	50 66A	# ٪ => P٪
66B	50 66B	# ٫ => P٫
66C	50 66C	# ٬ => P٬
66D	50 66D	# ٭ => P٭
6D4	50 6D4	# ۔ => P۔
700	50 700	# ܀ => P܀
701	50 701	# ܁ => P܁
702	50 702	# ܂ => P܂
703	50 703	# ܃ => P܃
704	50 704	# ܄ => P܄
705	50 705	# ܅ => P܅
706	50 706	# ܆ => P܆
707	50 707	# ܇ => P܇
708	50 708	# ܈ => P܈
709	50 709	# ܉ => P܉
70A	50 70A	# ܊ => P܊
70B	50 70B	# ܋ => P܋
70C	50 70C	# ܌ => P܌
70D	50 70D	# ܍ => P܍
7F7	50 7F7	# ߷ => P߷
7F8	50 7F8	# ߸ => P߸
7F9	50 7F9	# ߹ => P߹
830	50 830	# ࠰ => P࠰
831	50 831	# ࠱ => P࠱
832	50 832	# ࠲ => P࠲
833	50 833	# ࠳ => P࠳
834	50 834	# ࠴ => P࠴
835	50 835	# ࠵ => P࠵
836	50 836	# ࠶ => P࠶
837	50 837	# ࠷ => P࠷
838	50 838	# ࠸ => P࠸
839	50 839	# ࠹ => P࠹
83A	50 83A	# ࠺ => P࠺
83B	50 83B	# ࠻ => P࠻
83C	50 83C	# ࠼ => P࠼
83D	50 83D	# ࠽ => P࠽
83E	50 83E	# ࠾ => P࠾
85E	50 85E	# ࡞ => P࡞
964	50 964	# । => P।
965	50 965	# ॥ => P॥
970	50 970	# ॰ => P॰
9FD	50 9FD	# ৽ => P৽
